year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Uncertain,Uncertain,Maputo,Moamba,0.27043493365361393,0,0.6380990437400988,0.361900956259902,4395.874773595355,area_weighted_exact,NA,NA,NA,27.043493365361392,0,63.80990437400988,36.190095625990196
2007,No,No,Maputo,Namaacha,0.13238061782448254,0,0.15012633636250472,0.8498736636374954,2046.5735249074462,area_weighted_exact,NA,NA,NA,13.238061782448254,0,15.012633636250472,84.98736636374954
2007,Yes,Yes,Nampula,Angoche,0.9988006551529464,1,0,0,2668.047211202732,area_weighted_exact,NA,NA,NA,99.88006551529463,100,0,0
2007,Yes,Yes,Nampula,Eráti,0.9951091860084977,1,0,0,5700.770679408556,area_weighted_exact,NA,NA,NA,99.51091860084978,100,0,0
2007,Yes,Yes,Nampula,Ilha de Moçambique,0.9952726643414861,1,0,0,158.12896275297786,area_weighted_exact,NA,NA,NA,99.52726643414861,100,0,0
2007,Uncertain,Yes,Nampula,Lalaua,0.7740273205455239,0.5153737847951692,0.484626215204831,0,4531.537356843916,area_weighted_exact,NA,NA,NA,77.40273205455239,51.53737847951692,48.462621520483104,0
2007,Yes,Yes,Nampula,Malema,0.8927720372473492,0.8800264083521672,0.11997359164783233,0,6053.012110659178,area_weighted_exact,NA,NA,NA,89.27720372473492,88.00264083521671,11.997359164783234,0
2007,Yes,Yes,Nampula,Mecubúri,0.9657948215410567,0.9917363273566485,0.008263672643351738,0,7189.586316335103,area_weighted_exact,NA,NA,NA,96.57948215410566,99.17363273566485,0.8263672643351738,0
2007,Yes,Yes,Nampula,Memba,0.9962036053250348,1,0,0,4266.579430635383,area_weighted_exact,NA,NA,NA,99.62036053250348,100,0,0
2007,Yes,Yes,Nampula,Liúpo,0.9931415217703868,1,0,0,2021.6392283813243,area_weighted_exact,NA,NA,NA,99.31415217703868,100,0,0
2007,Yes,Yes,Nampula,Mogincual,0.9896900081756921,1,0,0,2214.2958092038457,area_weighted_exact,NA,NA,NA,98.96900081756921,100,0,0
2007,Yes,Yes,Nampula,Larde,0.9876792571663902,1,0,0,1754.350342768937,area_weighted_exact,NA,NA,NA,98.76792571663901,100,0,0
2007,Yes,Yes,Nampula,Moma,0.9894383664779778,1,0,0,3802.585022341837,area_weighted_exact,NA,NA,NA,98.94383664779778,100,0,0
2007,Yes,Yes,Nampula,Monapo,0.9938774380776859,1,0,0,3515.065804291179,area_weighted_exact,NA,NA,NA,99.38774380776859,100,0,0
2007,Yes,Yes,Nampula,Mossuril,0.9965894260119735,1,0,0,3043.506942558838,area_weighted_exact,NA,NA,NA,99.65894260119735,100,0,0
2007,Yes,Yes,Nampula,Murrupula,0.9706956199505348,1,0,0,3093.3778810582235,area_weighted_exact,NA,NA,NA,97.06956199505348,100,0,0
2007,Yes,Yes,Nampula,Nacala,0.9953677361518598,1,0,0,167.6694097920893,area_weighted_exact,NA,NA,NA,99.53677361518598,100,0,0
2007,Yes,Yes,Nampula,Nacala-a-Velha,0.999772981667112,1,0,0,1121.2806995214833,area_weighted_exact,NA,NA,NA,99.97729816671121,100,0,0
2007,Yes,Yes,Nampula,Nacarôa,0.9936724912138529,1,0,0,2713.855297196987,area_weighted_exact,NA,NA,NA,99.3672491213853,100,0,0
2007,Yes,Yes,Nampula,Rapale,0.9780925546961314,0.9836097448216262,0.016390255178373725,0,2344.327476248757,area_weighted_exact,NA,NA,NA,97.80925546961315,98.36097448216262,1.6390255178373725,0
2007,Yes,Yes,Nampula,Ribáuè,0.8489101655631789,0.722883164929441,0.2676039476693712,0.00951288740118648,6248.412662083232,area_weighted_exact,NA,NA,NA,84.8910165563179,72.2883164929441,26.760394766937118,0.951288740118648
2007,Uncertain,Uncertain,Niassa,Chimbonila,0.5982855469702583,0.21692474822130958,0.6947097479972892,0.08836550378139936,5305.470756111249,area_weighted_exact,NA,NA,NA,59.82855469702583,21.692474822130958,69.47097479972892,8.836550378139936
2007,Uncertain,Yes,Niassa,Cuamba,0.7795735588006526,0.5687020031383916,0.4146075709690886,0.01669042589251802,5344.236359872805,area_weighted_exact,NA,NA,NA,77.95735588006526,56.870200313839156,41.460757096908864,1.669042589251802
